Sample,Quadrat,Type,Time,QuadratxType
G1_1_1_Notothylas_JNP1,Grossman1,Notothylas,T1,Grossman1_Notothylas
G1_1_2_Notothylas_JNP1,Grossman1,Notothylas,T1,Grossman1_Notothylas
G1_1_3_Notothylas_JNP2,Grossman1,Notothylas,T1,Grossman1_Notothylas
G1_1_4_Notothylas_JNP2,Grossman1,Notothylas,T1,Grossman1_Notothylas
G1_1_5_soil_JNP1,Grossman1,soil,T1,Grossman1_soil
G1_1_6_soil_JNP1,Grossman1,soil,T1,Grossman1_soil
G1_1_7_soil_JNP2,Grossman1,soil,T1,Grossman1_soil
G1_1_8_soil_JNP2,Grossman1,soil,T1,Grossman1_soil
G1_2_1_Notothylas_JNP1,Grossman2,Notothylas,T1,Grossman2_Notothylas
G1_2_2_Notothylas_JNP1,Grossman2,Notothylas,T1,Grossman2_Notothylas
G1_2_3_Notothylas_JNP2,Grossman2,Notothylas,T1,Grossman2_Notothylas
G1_2_4_Notothylas_JNP2,Grossman2,Notothylas,T1,Grossman2_Notothylas
G1_2_5_soil_JNP1,Grossman2,soil,T1,Grossman2_soil
G1_2_6_soil_JNP1,Grossman2,soil,T1,Grossman2_soil
G1_2_7_soil_JNP2,Grossman2,soil,T1,Grossman2_soil
G1_2_8_soil_JNP2,Grossman2,soil,T1,Grossman2_soil
G2_1_1_Notothylas_JNP1,Grossman1,Notothylas,T2,Grossman1_Notothylas
G2_1_2_Notothylas_JNP1,Grossman1,Notothylas,T2,Grossman1_Notothylas
G2_1_3_Notothylas_JNP2,Grossman1,Notothylas,T2,Grossman1_Notothylas
G2_1_4_Notothylas_JNP3,Grossman1,Notothylas,T2,Grossman1_Notothylas
G2_1_5_soil_JNP1,Grossman1,soil,T2,Grossman1_soil
G2_1_6_soil_JNP1,Grossman1,soil,T2,Grossman1_soil
G2_1_7_soil_JNP2,Grossman1,soil,T2,Grossman1_soil
G2_1_8_soil_JNP3,Grossman1,soil,T2,Grossman1_soil
G2_2_1_Notothylas_JNP1,Grossman2,Notothylas,T2,Grossman2_Notothylas
G2_2_2_Notothylas_JNP1,Grossman2,Notothylas,T2,Grossman2_Notothylas
G2_2_3_Notothylas_JNP2,Grossman2,Notothylas,T2,Grossman2_Notothylas
G2_2_4_Notothylas_JNP3,Grossman2,Notothylas,T2,Grossman2_Notothylas
G2_2_5_soil_JNP1,Grossman2,soil,T2,Grossman2_soil
G2_2_6_soil_JNP1,Grossman2,soil,T2,Grossman2_soil
G2_2_7_soil_JNP2,Grossman2,soil,T2,Grossman2_soil
G2_2_8_soil_JNP3,Grossman2,soil,T2,Grossman2_soil
G3_1_1_Notothylas_JNP1,Grossman1,Notothylas,T3,Grossman1_Notothylas
G3_1_2_Notothylas_JNP1,Grossman1,Notothylas,T3,Grossman1_Notothylas
G3_1_3_Notothylas_JNP2,Grossman1,Notothylas,T3,Grossman1_Notothylas
G3_1_4_Notothylas_JNP3,Grossman1,Notothylas,T3,Grossman1_Notothylas
G3_1_5_soil_JNP1,Grossman1,soil,T3,Grossman1_soil
G3_1_6_soil_JNP2,Grossman1,soil,T3,Grossman1_soil
G3_1_7_soil_JNP2,Grossman1,soil,T3,Grossman1_soil
G3_1_8_soil_JNP3,Grossman1,soil,T3,Grossman1_soil
G3_2_1_Notothylas_JNP1,Grossman2,Notothylas,T3,Grossman2_Notothylas
G3_2_2_Notothylas_JNP2,Grossman2,Notothylas,T3,Grossman2_Notothylas
G3_2_3_Notothylas_JNP2,Grossman2,Notothylas,T3,Grossman2_Notothylas
G3_2_4_Notothylas_JNP3,Grossman2,Notothylas,T3,Grossman2_Notothylas
G3_2_5_soil_JNP1,Grossman2,soil,T3,Grossman2_soil
G3_2_6_soil_JNP2,Grossman2,soil,T3,Grossman2_soil
G3_2_7_soil_JNP2,Grossman2,soil,T3,Grossman2_soil
G3_2_8_soil_JNP3,Grossman2,soil,T3,Grossman2_soil
G4_1_1_Notothylas_JNP1,Grossman1,Notothylas,T4,Grossman1_Notothylas
G4_1_2_Notothylas_JNP2,Grossman1,Notothylas,T4,Grossman1_Notothylas
G4_1_3_Notothylas_JNP2,Grossman1,Notothylas,T4,Grossman1_Notothylas
G4_1_4_Notothylas_JNP3,Grossman1,Notothylas,T4,Grossman1_Notothylas
G4_1_5_soil_JNP1,Grossman1,soil,T4,Grossman1_soil
G4_1_6_soil_JNP2,Grossman1,soil,T4,Grossman1_soil
G4_1_7_soil_JNP2,Grossman1,soil,T4,Grossman1_soil
