ASV	G1_1_1_Notothylas_JNP1	G1_1_2_Notothylas_JNP1	G1_1_3_Notothylas_JNP2	G1_1_4_Notothylas_JNP2	G1_1_5_soil_JNP1	G1_1_6_soil_JNP1	G1_1_7_soil_JNP2	G1_1_8_soil_JNP2	G1_2_1_Notothylas_JNP1	G1_2_2_Notothylas_JNP1	G1_2_3_Notothylas_JNP2	G1_2_4_Notothylas_JNP2	G1_2_5_soil_JNP1	G1_2_6_soil_JNP1	G1_2_7_soil_JNP2	G1_2_8_soil_JNP2	G2_1_1_Notothylas_JNP1	G2_1_2_Notothylas_JNP1	G2_1_3_Notothylas_JNP2	G2_1_4_Notothylas_JNP3	G2_1_5_soil_JNP1	G2_1_6_soil_JNP1	G2_1_7_soil_JNP2	G2_1_8_soil_JNP3	G2_2_1_Notothylas_JNP1	G2_2_2_Notothylas_JNP1	G2_2_3_Notothylas_JNP2	G2_2_4_Notothylas_JNP3	G2_2_5_soil_JNP1	G2_2_6_soil_JNP1	G2_2_7_soil_JNP2	G2_2_8_soil_JNP3	G3_1_1_Notothylas_JNP1	G3_1_2_Notothylas_JNP1	G3_1_3_Notothylas_JNP2	G3_1_4_Notothylas_JNP3	G3_1_5_soil_JNP1	G3_1_6_soil_JNP2	G3_1_7_soil_JNP2	G3_1_8_soil_JNP3	G3_2_1_Notothylas_JNP1	G3_2_2_Notothylas_JNP2	G3_2_3_Notothylas_JNP2	G3_2_4_Notothylas_JNP3	G3_2_5_soil_JNP1	G3_2_6_soil_JNP2	G3_2_7_soil_JNP2	G3_2_8_soil_JNP3	G4_1_1_Notothylas_JNP1	G4_1_2_Notothylas_JNP2	G4_1_3_Notothylas_JNP2	G4_1_4_Notothylas_JNP3	G4_1_5_soil_JNP1	G4_1_6_soil_JNP2	G4_1_7_soil_JNP2	G4_1_8_soil_JNP3	P1_1_1_Phaeoceros_JNP1	P1_1_10_Notothylas_JNP1	P1_1_11_Notothylas_JNP2	P1_1_12_Notothylas_JNP3	P1_1_13_soil_JNP1	P1_1_14_soil_JNP1	P1_1_15_soil_JNP2	P1_1_16_soil_JNP3	P1_1_2_Phaeoceros_JNP1	P1_1_3_Phaeoceros_JNP2	P1_1_4_Phaeoceros_JNP2	P1_1_5_Anthoceros_JNP1	P1_1_6_Anthoceros_JNP1	P1_1_7_Anthoceros_JNP2	P1_1_8_Anthoceros_JNP3	P1_1_9_Notothylas_JNP1	P1_2_1_Phaeoceros_JNP1	P1_2_10_Notothylas_JNP1	P1_2_11_Notothylas_JNP2	P1_2_12_Notothylas_JNP3	P1_2_13_soil_JNP1	P1_2_14_soil_JNP1	P1_2_15_soil_JNP2	P1_2_16_soil_JNP3	P1_2_2_Phaeoceros_JNP1	P1_2_3_Phaeoceros_JNP2	P1_2_4_Phaeoceros_JNP3	P1_2_5_Anthoceros_JNP1	P1_2_6_Anthoceros_JNP1	P1_2_7_Anthoceros_JNP2	P1_2_8_Anthoceros_JNP3	P1_2_9_Notothylas_JNP1	P1_3_1_Phaeoceros_JNP1	P1_3_10_Notothylas_JNP1	P1_3_11_Notothylas_JNP2	P1_3_12_Notothylas_JNP3	P1_3_13_soil_JNP1	P1_3_14_soil_JNP1	P1_3_15_soil_JNP2	P1_3_16_soil_JNP3	P1_3_2_Phaeoceros_JNP1	P1_3_3_Phaeoceros_JNP2	P1_3_4_Phaeoceros_JNP3	P1_3_5_Anthoceros_JNP1	P1_3_6_Anthoceros_JNP1	P1_3_7_Anthoceros_JNP2	P1_3_8_Anthoceros_JNP3	P1_3_9_Notothylas_JNP1	P2_1_1_Phaeoceros_JNP1	P2_1_10_Notothylas_JNP1	P2_1_11_Notothylas_JNP2	P2_1_12_Notothylas_JNP3	P2_1_13_soil_JNP1	P2_1_14_soil_JNP1	P2_1_15_soil_JNP2	P2_1_16_soil_JNP3	P2_1_2_Phaeoceros_JNP1	P2_1_3_Phaeoceros_JNP2	P2_1_4_Phaeoceros_JNP3	P2_1_5_Anthoceros_JNP1	P2_1_6_Anthoceros_JNP1	P2_1_7_Anthoceros_JNP2	P2_1_8_Anthoceros_JNP3	P2_1_9_Notothylas_JNP1	P2_2_1_Phaeoceros_JNP1	P2_2_10_Notothylas_JNP1	P2_2_11_Notothylas_JNP2	P2_2_12_Notothylas_JNP3	P2_2_13_soil_JNP1	P2_2_14_soil_JNP1	P2_2_15_soil_JNP2	P2_2_16_soil_JNP3	P2_2_2_Phaeoceros_JNP1	P2_2_3_Phaeoceros_JNP2	P2_2_4_Phaeoceros_JNP3	P2_2_5_Anthoceros_JNP1	P2_2_6_Anthoceros_JNP1	P2_2_7_Anthoceros_JNP2	P2_2_8_Anthoceros_JNP3	P2_2_9_Notothylas_JNP1	P2_3_1_Phaeoceros_JNP1	P2_3_10_Notothylas_JNP1	P2_3_11_Notothylas_JNP2	P2_3_12_Notothylas_JNP3	P2_3_13_soil_JNP1	P2_3_14_soil_JNP1	P2_3_15_soil_JNP2	P2_3_16_soil_JNP3	P2_3_2_Phaeoceros_JNP1	P2_3_3_Phaeoceros_JNP2	P2_3_4_Phaeoceros_JNP3	P2_3_5_Anthoceros_JNP1	P2_3_6_Anthoceros_JNP1	P2_3_7_Anthoceros_JNP2	P2_3_8_Anthoceros_JNP3	P2_3_9_Notothylas_JNP1	P3_1_1_Phaeoceros_JNP1	P3_1_10_Notothylas_JNP2	P3_1_11_Notothylas_JNP2	P3_1_12_Notothylas_JNP3	P3_1_13_soil_JNP1	P3_1_14_soil_JNP2	P3_1_15_soil_JNP2	P3_1_16_soil_JNP3	P3_1_2_Phaeoceros_JNP2	P3_1_3_Phaeoceros_JNP2	P3_1_4_Phaeoceros_JNP3	P3_1_5_Anthoceros_JNP1	P3_1_6_Anthoceros_JNP2	P3_1_7_Anthoceros_JNP2	P3_1_8_Anthoceros_JNP3	P3_1_9_Notothylas_JNP1	P3_2_1_Phaeoceros_JNP1	P3_2_10_Notothylas_JNP2	P3_2_11_Notothylas_JNP2	P3_2_12_Notothylas_JNP3	P3_2_13_soil_JNP1	P3_2_14_soil_JNP2	P3_2_15_soil_JNP2	P3_2_16_soil_JNP3	P3_2_2_Phaeoceros_JNP2	P3_2_3_Phaeoceros_JNP2	P3_2_4_Phaeoceros_JNP3	P3_2_5_Anthoceros_JNP1	P3_2_6_Anthoceros_JNP2	P3_2_7_Anthoceros_JNP2	P3_2_8_Anthoceros_JNP3	P3_2_9_Notothylas_JNP1	P3_3_1_Phaeoceros_JNP1	P3_3_10_Notothylas_JNP2	P3_3_11_Notothylas_JNP2	P3_3_12_Notothylas_JNP3	P3_3_13_soil_JNP1	P3_3_14_soil_JNP2	P3_3_15_soil_JNP2	P3_3_16_soil_JNP3	P3_3_2_Phaeoceros_JNP2	P3_3_3_Phaeoceros_JNP2	P3_3_4_Phaeoceros_JNP3	P3_3_5_Anthoceros_JNP1	P3_3_6_Anthoceros_JNP2	P3_3_7_Anthoceros_JNP2	P3_3_8_Anthoceros_JNP3	P3_3_9_Notothylas_JNP1	P4_1_1_Phaeoceros_JNP1	P4_1_13_soil_JNP1	P4_1_14_soil_JNP2	P4_1_15_soil_JNP2	P4_1_16_soil_JNP3	P4_1_2_Phaeoceros_JNP2	P4_1_3_Phaeoceros_JNP2	P4_1_4_Phaeoceros_JNP3	P4_1_5_Anthoceros_JNP1	P4_1_6_Anthoceros_JNP2	P4_1_7_Anthoceros_JNP2	P4_1_8_Anthoceros_JNP3	P4_2_1_Phaeoceros_JNP1	P4_2_10_Notothylas_JNP2	P4_2_11_Notothylas_JNP2	P4_2_12_Notothylas_JNP3	P4_2_13_soil_JNP1	P4_2_14_soil_JNP2	P4_2_15_soil_JNP2	P4_2_16_soil_JNP3	P4_2_2_Phaeoceros_JNP2	P4_2_3_Phaeoceros_JNP2	P4_2_4_Phaeoceros_JNP3	P4_2_5_Anthoceros_JNP1	P4_2_6_Anthoceros_JNP2	P4_2_7_Anthoceros_JNP2	P4_2_8_Anthoceros_JNP3	P4_2_9_Notothylas_JNP1	P4_3_1_Phaeoceros_JNP1	P4_3_10_Notothylas_JNP2	P4_3_11_Notothylas_JNP2	P4_3_12_Notothylas_JNP3	P4_3_13_soil_JNP1	P4_3_14_soil_JNP2	P4_3_15_soil_JNP2	P4_3_16_soil_JNP3	P4_3_2_Phaeoceros_JNP2	P4_3_3_Phaeoceros_JNP2	P4_3_4_Phaeoceros_JNP3	P4_3_5_Anthoceros_JNP1	P4_3_6_Anthoceros_JNP2	P4_3_7_Anthoceros_JNP2	P4_3_8_Anthoceros_JNP3	P4_3_9_Notothylas_JNP1
ASV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	21	7	0	0	0	0	0	0	0	0	0	5	1612	1643	1378	162	1616	1390	6337	928	4303	0	61	187	35	32	60	1836	0	0	47	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	307	2382	109	615	1653	1077	494	1838	533	11	11	0	639	425	0	1482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	2098	1129	1237	1525	2525	220	967	494	1374	149	169	10	0	134	667	0	0	0	0	0	0	0	0	0	0	5	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	988	1566	724	586	4039	786	510	15	1120	215	14	0	0	0	1363
ASV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	1801	0	74	0	0	15	0	0	0	0	5	0	0	0	0	0	21	44	0	417	0	0	0	0	0	0	0	0	0	0	0	0	0	71	31	0	0	172	505	1964	913	121	107	27	0	336	1783	543	810	1892	2544	0	2447	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	4	371	498	186	36	66	47	32	767	0	197	1911	7	433	637	7	11	0	16	24	96	46	0	16	1055	4	0	420	0	1896	2123	0	0	376	0	0	0	72	0	0	0	0	0	0	0	0	0	0	81	0	17	0	44	106	112	4	186	0	4	2827	464	91	0	518	0	0	12	154	103	0	32	30	0	205	38	1188	302	17	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	393	5	295	0	50	31	0	126	0	200	1815	337	1717	2109	0	468	290	0	5	0	101	22	774	0	458	334	301	0	0	0	0	0	0	0	0	0	0	6	0	12	0	0	0	0	338	0	498	0	48	106	75	35	422	96	0	0	0	1070	157	196
ASV3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	5	0	0	0	0	0	0	718	0	1309	227	1183	580	4	93	59	4	1219	1549	230	783	1498	2868	851	1311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	4	0	0	0	18	18	5	0	1789	0	0	0	0	0	1970	96	168	769	126	155	7	113	1396	270	1126	268	870	816	798	1388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	5	0	62	0	0	0	86	0	0	508	247	668	959	34	8	26	19	1047	1909	1053	223	391	1377	254	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	823	0	0	9	0	520	462	184	220	0	35	23	5	1477	742	637	447	200	632	845	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	21	71	91	21	26	0	0	0	39	0	0	4	36	552	273	584	23	0	80	192	221	590	38	91	77	356	542	0	8	83	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	7	0	104	307	0	0	0	921	0	0	178	0	0	0	0	0	78	0	57	22	533	365	118	137	516	195	260	270	1277	590	98	20	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	524	41	42	53	0	39	62	98	83	2080	87	1600	0	107	0	346	305	527	0	54	1361	119	246	700	269	68	168	1762	1107	354	506	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	3734	208	4	53	390	512	104	93	455	1207	40	411	130	11	222	445	68	2334	287	399	1139	47	306	254	3556	865	357	236	6	0	0	0	0	0	60	9	0	0	0	0	0	0	0	0
ASV5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	472	524	926	1265	1122	3945	2160	843	97	670	18	603	468	0	192	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	13	0	5	115	0	847	280	706	837	1931	1215	414	326	35	499	228	193	111	892	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	14	0	711	144	271	0	2196	680	1428	1051	652	57	754	649	93	165	0	408	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	930	1524	702	712	1224	134	1031	701	196	647	72	306	23	0	0	469	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV6	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	746	0	86	0	277	169	1123	0	724	16	1518	57	275	9	24	18	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1376	1723	419	279	0	1318	1625	34	193	70	65	0	250	0	145	663	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	4	0	0	0	148	0	2728	1911	1211	8	2776	1532	466	605	11	630	0	1353	2063	1561	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	980	2353	0	567	1162	90	2423	67	710	289	1131	0	0	0	0	5	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	6	0	0	8	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	807	1277	453	1768	914	1007	95	557	1111	305	415	129	471	39	420	261	790	1173	116	903	226	396	230	270	118	26	19	52	0	91	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	402	537	856	1182	446	87	289	102	417	39	102	0	111	154	720	39	95	33	454	258	335	105	223	113	38	11	11	119	25	145	206	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	16	22	558	303	4	130	431	94	74	244	0	227	300	158	5	139	51	7	200	34	146	647	486	30	93	239	84	0	73	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	21	46	684	672	23	371	50	22	190	38	6	29	186	88	421	125	788	72	289	87	64	510	16	57	0	227	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516	5	17	0	0	6	0	0	340	4854	794	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1589	67	0	0	0	0	732	157	2394	5	688	37	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	724	236	48	287	0	0	0	0	1200	829	35	118	569	0	0	66	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	358	0	4	56	10	0	0	0	155	836	832	0	2422	329	1449	148
ASV9	0	0	0	0	0	0	0	0	0	3721	3308	1018	0	0	0	118	0	0	0	0	0	0	0	0	0	5	0	0	0	0	53	6	0	0	0	0	0	0	0	13	1799	1426	1197	386	32	0	0	0	0	827	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10	1371	793	0	514	21	11	255	24	0	0	0	0	77	23	48	161	199	77	0	21	0	32	6	13	2564	0	0	0	31	37	10	31	196	4004	0	323	224	70	308	102	69	0	0	30	22	0	48	43	732	242	95	155	14	213	10	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
